layer,component,language,tier,perturbation,mean_delta,std_delta,n_pairs_used,n_pairs_skipped
8,attn_out,fr,tier_1,standard_translation,-0.0068,0.0079,20,0
8,mlp_out,fr,tier_1,standard_translation,-0.003,0.0157,20,0
9,residual,fr,tier_1,standard_translation,0.0192,0.0453,20,0
9,attn_out,fr,tier_1,standard_translation,-0.0055,0.0172,20,0
9,mlp_out,fr,tier_1,standard_translation,0.0166,0.0362,20,0
10,residual,fr,tier_1,standard_translation,0.0103,0.0402,20,0
10,attn_out,fr,tier_1,standard_translation,0.0057,0.0147,20,0
10,mlp_out,fr,tier_1,standard_translation,-0.0135,0.0118,20,0
11,residual,fr,tier_1,standard_translation,0.0231,0.0507,20,0
11,attn_out,fr,tier_1,standard_translation,0.0025,0.0132,20,0
11,mlp_out,fr,tier_1,standard_translation,-0.0005,0.0294,20,0
12,residual,fr,tier_1,standard_translation,0.0356,0.0347,20,0
12,attn_out,fr,tier_1,standard_translation,0.0067,0.0076,20,0
12,mlp_out,fr,tier_1,standard_translation,-0.0095,0.0065,20,0
13,residual,fr,tier_1,standard_translation,0.0201,0.0101,20,0
13,attn_out,fr,tier_1,standard_translation,0.0037,0.0073,20,0
13,mlp_out,fr,tier_1,standard_translation,-0.0121,0.0093,20,0
14,residual,fr,tier_1,standard_translation,0.0181,0.006,20,0
14,attn_out,fr,tier_1,standard_translation,0.0039,0.0033,20,0
14,mlp_out,fr,tier_1,standard_translation,-0.0021,0.0044,20,0
15,residual,fr,tier_1,standard_translation,0.0105,0.0048,20,0
15,attn_out,fr,tier_1,standard_translation,-0.0001,0.0016,20,0
15,mlp_out,fr,tier_1,standard_translation,-0.0067,0.0055,20,0
16,residual,fr,tier_1,standard_translation,0.0078,0.0061,20,0
16,attn_out,fr,tier_1,standard_translation,0.0016,0.003,20,0
16,mlp_out,fr,tier_1,standard_translation,0.0011,0.0021,20,0
17,residual,fr,tier_1,standard_translation,0.0075,0.0052,20,0
17,attn_out,fr,tier_1,standard_translation,0.0005,0.0009,20,0
17,mlp_out,fr,tier_1,standard_translation,0.0023,0.0039,20,0
18,residual,fr,tier_1,standard_translation,0.0015,0.0028,20,0
18,attn_out,fr,tier_1,standard_translation,0.0001,0.0013,20,0
18,mlp_out,fr,tier_1,standard_translation,-0.002,0.0028,20,0
19,residual,fr,tier_1,standard_translation,0.0002,0.0031,20,0
19,attn_out,fr,tier_1,standard_translation,-0.0004,0.0011,20,0
19,mlp_out,fr,tier_1,standard_translation,-0.0003,0.0015,20,0
20,residual,fr,tier_1,standard_translation,-0.001,0.0038,20,0
20,attn_out,fr,tier_1,standard_translation,-0.0008,0.0011,20,0
20,mlp_out,fr,tier_1,standard_translation,-0.0005,0.0036,20,0
21,residual,fr,tier_1,standard_translation,-0.0023,0.0044,20,0
21,attn_out,fr,tier_1,standard_translation,0.0,0.0004,20,0
21,mlp_out,fr,tier_1,standard_translation,-0.0019,0.0015,20,0
22,residual,fr,tier_1,standard_translation,-0.0016,0.0009,20,0
22,attn_out,fr,tier_1,standard_translation,-0.0005,0.0009,20,0
22,mlp_out,fr,tier_1,standard_translation,0.0012,0.0011,20,0
23,residual,fr,tier_1,standard_translation,-0.0013,0.0005,20,0
23,attn_out,fr,tier_1,standard_translation,-0.0002,0.0007,20,0
23,mlp_out,fr,tier_1,standard_translation,-0.0001,0.0015,20,0
24,residual,fr,tier_1,standard_translation,-0.0009,0.0009,20,0
24,attn_out,fr,tier_1,standard_translation,0.0002,0.0007,20,0
24,mlp_out,fr,tier_1,standard_translation,-0.0006,0.0013,20,0
25,residual,fr,tier_1,standard_translation,-0.0009,0.0007,20,0
25,attn_out,fr,tier_1,standard_translation,-0.0001,0.0002,20,0
25,mlp_out,fr,tier_1,standard_translation,0.0011,0.0018,20,0
26,residual,fr,tier_1,standard_translation,-0.0016,0.001,20,0
26,attn_out,fr,tier_1,standard_translation,0.0007,0.0012,20,0
26,mlp_out,fr,tier_1,standard_translation,0.0007,0.0026,20,0
27,residual,fr,tier_1,standard_translation,-0.0012,0.0014,20,0
27,attn_out,fr,tier_1,standard_translation,-0.0001,0.0003,20,0
27,mlp_out,fr,tier_1,standard_translation,-0.001,0.0016,20,0
28,residual,fr,tier_1,standard_translation,-0.0005,0.0014,20,0
28,attn_out,fr,tier_1,standard_translation,-0.0001,0.0004,20,0
28,mlp_out,fr,tier_1,standard_translation,-0.001,0.0006,20,0
29,residual,fr,tier_1,standard_translation,0.0001,0.0008,20,0
29,attn_out,fr,tier_1,standard_translation,-0.0006,0.0003,20,0
29,mlp_out,fr,tier_1,standard_translation,0.0001,0.0011,20,0
30,residual,fr,tier_1,standard_translation,0.0,0.0007,20,0
30,attn_out,fr,tier_1,standard_translation,-0.0001,0.0003,20,0
30,mlp_out,fr,tier_1,standard_translation,-0.0006,0.0003,20,0
31,residual,fr,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,fr,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,fr,tier_1,standard_translation,0.0,0.0,20,0
0,residual,zh,tier_1,standard_translation,-0.0815,0.1841,20,0
0,attn_out,zh,tier_1,standard_translation,-0.0406,0.069,20,0
0,mlp_out,zh,tier_1,standard_translation,-0.056,0.1329,20,0
1,residual,zh,tier_1,standard_translation,-0.0938,0.1915,20,0
1,attn_out,zh,tier_1,standard_translation,-0.014,0.026,20,0
1,mlp_out,zh,tier_1,standard_translation,0.0083,0.0202,20,0
2,residual,zh,tier_1,standard_translation,-0.0685,0.1624,20,0
2,attn_out,zh,tier_1,standard_translation,-0.0017,0.0062,20,0
2,mlp_out,zh,tier_1,standard_translation,-0.0489,0.0846,20,0
3,residual,zh,tier_1,standard_translation,-0.0439,0.1475,20,0
3,attn_out,zh,tier_1,standard_translation,-0.0028,0.0096,20,0
3,mlp_out,zh,tier_1,standard_translation,-0.0288,0.052,20,0
4,residual,zh,tier_1,standard_translation,-0.0111,0.0958,20,0
4,attn_out,zh,tier_1,standard_translation,-0.0004,0.0236,20,0
4,mlp_out,zh,tier_1,standard_translation,-0.068,0.0703,20,0
5,residual,zh,tier_1,standard_translation,0.0086,0.0712,20,0
5,attn_out,zh,tier_1,standard_translation,-0.003,0.0178,20,0
5,mlp_out,zh,tier_1,standard_translation,-0.005,0.0257,20,0
6,residual,zh,tier_1,standard_translation,0.0171,0.056,20,0
6,attn_out,zh,tier_1,standard_translation,-0.0281,0.0134,20,0
6,mlp_out,zh,tier_1,standard_translation,-0.0256,0.0182,20,0
7,residual,zh,tier_1,standard_translation,0.0244,0.0548,20,0
7,attn_out,zh,tier_1,standard_translation,-0.0285,0.0181,20,0
7,mlp_out,zh,tier_1,standard_translation,-0.0068,0.04,20,0
8,residual,zh,tier_1,standard_translation,0.0238,0.0372,20,0
8,attn_out,zh,tier_1,standard_translation,-0.0128,0.0093,20,0
8,mlp_out,zh,tier_1,standard_translation,-0.0034,0.0204,20,0
9,residual,zh,tier_1,standard_translation,0.0242,0.0326,20,0
9,attn_out,zh,tier_1,standard_translation,-0.0245,0.0204,20,0
9,mlp_out,zh,tier_1,standard_translation,0.004,0.0148,20,0
10,residual,zh,tier_1,standard_translation,0.0256,0.0226,20,0
10,attn_out,zh,tier_1,standard_translation,-0.0057,0.0069,20,0
10,mlp_out,zh,tier_1,standard_translation,-0.0043,0.015,20,0
11,residual,zh,tier_1,standard_translation,0.0304,0.0228,20,0
11,attn_out,zh,tier_1,standard_translation,0.0004,0.0049,20,0
11,mlp_out,zh,tier_1,standard_translation,-0.0007,0.0123,20,0
12,residual,zh,tier_1,standard_translation,0.0338,0.0228,20,0
12,attn_out,zh,tier_1,standard_translation,0.0075,0.0036,20,0
12,mlp_out,zh,tier_1,standard_translation,0.0067,0.0077,20,0
13,residual,zh,tier_1,standard_translation,0.025,0.0128,20,0
13,attn_out,zh,tier_1,standard_translation,0.006,0.004,20,0
13,mlp_out,zh,tier_1,standard_translation,0.0062,0.0068,20,0
14,residual,zh,tier_1,standard_translation,0.0264,0.015,20,0
14,attn_out,zh,tier_1,standard_translation,0.0019,0.0025,20,0
14,mlp_out,zh,tier_1,standard_translation,0.0015,0.0062,20,0
15,residual,zh,tier_1,standard_translation,0.0211,0.0089,20,0
15,attn_out,zh,tier_1,standard_translation,-0.0006,0.0028,20,0
15,mlp_out,zh,tier_1,standard_translation,-0.006,0.0059,20,0
16,residual,zh,tier_1,standard_translation,0.0235,0.0131,20,0
16,attn_out,zh,tier_1,standard_translation,0.0041,0.0041,20,0
16,mlp_out,zh,tier_1,standard_translation,-0.0067,0.0104,20,0
17,residual,zh,tier_1,standard_translation,0.0164,0.0107,20,0
17,attn_out,zh,tier_1,standard_translation,-0.0002,0.0009,20,0
17,mlp_out,zh,tier_1,standard_translation,-0.0021,0.0066,20,0
18,residual,zh,tier_1,standard_translation,0.0163,0.0059,20,0
18,attn_out,zh,tier_1,standard_translation,-0.0008,0.0009,20,0
18,mlp_out,zh,tier_1,standard_translation,-0.0002,0.0025,20,0
19,residual,zh,tier_1,standard_translation,0.0173,0.0057,20,0
19,attn_out,zh,tier_1,standard_translation,0.0012,0.0015,20,0
19,mlp_out,zh,tier_1,standard_translation,-0.0005,0.0027,20,0
20,residual,zh,tier_1,standard_translation,0.0174,0.004,20,0
20,attn_out,zh,tier_1,standard_translation,-0.0002,0.0005,20,0
20,mlp_out,zh,tier_1,standard_translation,0.003,0.0018,20,0
21,residual,zh,tier_1,standard_translation,0.0188,0.0023,20,0
21,attn_out,zh,tier_1,standard_translation,0.0001,0.0011,20,0
21,mlp_out,zh,tier_1,standard_translation,0.0028,0.001,20,0
22,residual,zh,tier_1,standard_translation,0.0175,0.0032,20,0
22,attn_out,zh,tier_1,standard_translation,-0.0002,0.0008,20,0
22,mlp_out,zh,tier_1,standard_translation,0.0038,0.0013,20,0
23,residual,zh,tier_1,standard_translation,0.0157,0.0044,20,0
23,attn_out,zh,tier_1,standard_translation,0.001,0.0007,20,0
23,mlp_out,zh,tier_1,standard_translation,0.0012,0.0029,20,0
24,residual,zh,tier_1,standard_translation,0.0175,0.0032,20,0
24,attn_out,zh,tier_1,standard_translation,0.0007,0.0004,20,0
24,mlp_out,zh,tier_1,standard_translation,0.0008,0.0007,20,0
25,residual,zh,tier_1,standard_translation,0.0175,0.0023,20,0
25,attn_out,zh,tier_1,standard_translation,0.0001,0.0006,20,0
25,mlp_out,zh,tier_1,standard_translation,-0.002,0.0018,20,0
26,residual,zh,tier_1,standard_translation,0.0146,0.002,20,0
26,attn_out,zh,tier_1,standard_translation,0.0004,0.0003,20,0
26,mlp_out,zh,tier_1,standard_translation,0.0035,0.0014,20,0
27,residual,zh,tier_1,standard_translation,0.0139,0.0017,20,0
27,attn_out,zh,tier_1,standard_translation,0.0005,0.0011,20,0
27,mlp_out,zh,tier_1,standard_translation,0.0009,0.0012,20,0
28,residual,zh,tier_1,standard_translation,0.0106,0.0015,20,0
28,attn_out,zh,tier_1,standard_translation,0.0002,0.0004,20,0
28,mlp_out,zh,tier_1,standard_translation,0.0027,0.0016,20,0
29,residual,zh,tier_1,standard_translation,0.0072,0.0026,20,0
29,attn_out,zh,tier_1,standard_translation,-0.0002,0.0003,20,0
29,mlp_out,zh,tier_1,standard_translation,0.0016,0.0009,20,0
30,residual,zh,tier_1,standard_translation,0.0022,0.0018,20,0
30,attn_out,zh,tier_1,standard_translation,0.0002,0.0003,20,0
30,mlp_out,zh,tier_1,standard_translation,-0.0002,0.0004,20,0
31,residual,zh,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,zh,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,zh,tier_1,standard_translation,0.0,0.0,20,0
0,residual,es,tier_1,standard_translation,0.0508,0.0477,20,0
0,attn_out,es,tier_1,standard_translation,0.0109,0.0365,20,0
0,mlp_out,es,tier_1,standard_translation,0.0489,0.0551,20,0
1,residual,es,tier_1,standard_translation,0.0505,0.0607,20,0
1,attn_out,es,tier_1,standard_translation,0.0271,0.0362,20,0
1,mlp_out,es,tier_1,standard_translation,0.0229,0.0554,20,0
2,residual,es,tier_1,standard_translation,0.0436,0.0664,20,0
2,attn_out,es,tier_1,standard_translation,-0.0022,0.0117,20,0
2,mlp_out,es,tier_1,standard_translation,0.0188,0.0584,20,0
3,residual,es,tier_1,standard_translation,0.0281,0.0677,20,0
3,attn_out,es,tier_1,standard_translation,-0.0145,0.0203,20,0
3,mlp_out,es,tier_1,standard_translation,0.0276,0.0368,20,0
4,residual,es,tier_1,standard_translation,0.0014,0.0679,20,0
4,attn_out,es,tier_1,standard_translation,0.0077,0.0097,20,0
4,mlp_out,es,tier_1,standard_translation,0.0006,0.0391,20,0
5,residual,es,tier_1,standard_translation,-0.0084,0.0662,20,0
5,attn_out,es,tier_1,standard_translation,-0.012,0.0166,20,0
5,mlp_out,es,tier_1,standard_translation,-0.027,0.0276,20,0
6,residual,es,tier_1,standard_translation,-0.0202,0.052,20,0
6,attn_out,es,tier_1,standard_translation,-0.0151,0.0139,20,0
6,mlp_out,es,tier_1,standard_translation,-0.0304,0.0255,20,0
7,residual,es,tier_1,standard_translation,-0.0244,0.0448,20,0
7,attn_out,es,tier_1,standard_translation,0.0042,0.028,20,0
7,mlp_out,es,tier_1,standard_translation,-0.0368,0.0278,20,0
8,residual,es,tier_1,standard_translation,-0.0232,0.0378,20,0
8,attn_out,es,tier_1,standard_translation,-0.0133,0.0215,20,0
8,mlp_out,es,tier_1,standard_translation,-0.0333,0.0329,20,0
9,residual,es,tier_1,standard_translation,-0.017,0.0307,20,0
9,attn_out,es,tier_1,standard_translation,-0.0103,0.0131,20,0
9,mlp_out,es,tier_1,standard_translation,-0.0346,0.0166,20,0
10,residual,es,tier_1,standard_translation,0.0015,0.0161,20,0
10,attn_out,es,tier_1,standard_translation,-0.0101,0.0135,20,0
10,mlp_out,es,tier_1,standard_translation,-0.0151,0.0172,20,0
11,residual,es,tier_1,standard_translation,0.0059,0.0291,20,0
11,attn_out,es,tier_1,standard_translation,-0.0072,0.0039,20,0
11,mlp_out,es,tier_1,standard_translation,-0.018,0.0154,20,0
12,residual,es,tier_1,standard_translation,0.0242,0.0255,20,0
12,attn_out,es,tier_1,standard_translation,-0.0002,0.0155,20,0
12,mlp_out,es,tier_1,standard_translation,-0.0012,0.0079,20,0
13,residual,es,tier_1,standard_translation,0.0098,0.0102,20,0
13,attn_out,es,tier_1,standard_translation,0.0013,0.0027,20,0
13,mlp_out,es,tier_1,standard_translation,-0.0077,0.0054,20,0
14,residual,es,tier_1,standard_translation,0.0085,0.0073,20,0
14,attn_out,es,tier_1,standard_translation,0.0018,0.0032,20,0
14,mlp_out,es,tier_1,standard_translation,-0.0081,0.0121,20,0
15,residual,es,tier_1,standard_translation,0.0001,0.0155,20,0
15,attn_out,es,tier_1,standard_translation,0.0002,0.0012,20,0
15,mlp_out,es,tier_1,standard_translation,0.0048,0.0047,20,0
16,residual,es,tier_1,standard_translation,0.0044,0.0107,20,0
16,attn_out,es,tier_1,standard_translation,0.0016,0.0014,20,0
16,mlp_out,es,tier_1,standard_translation,0.0011,0.0035,20,0
17,residual,es,tier_1,standard_translation,0.0069,0.0067,20,0
17,attn_out,es,tier_1,standard_translation,0.0011,0.0005,20,0
17,mlp_out,es,tier_1,standard_translation,0.0017,0.0028,20,0
18,residual,es,tier_1,standard_translation,0.0063,0.0027,20,0
18,attn_out,es,tier_1,standard_translation,0.0002,0.0008,20,0
18,mlp_out,es,tier_1,standard_translation,0.0016,0.0014,20,0
19,residual,es,tier_1,standard_translation,0.0059,0.0027,20,0
19,attn_out,es,tier_1,standard_translation,0.0007,0.0004,20,0
19,mlp_out,es,tier_1,standard_translation,-0.0013,0.0009,20,0
20,residual,es,tier_1,standard_translation,0.0052,0.0022,20,0
20,attn_out,es,tier_1,standard_translation,-0.0011,0.0005,20,0
20,mlp_out,es,tier_1,standard_translation,0.0018,0.0024,20,0
21,residual,es,tier_1,standard_translation,0.0046,0.0023,20,0
21,attn_out,es,tier_1,standard_translation,0.0003,0.0008,20,0
21,mlp_out,es,tier_1,standard_translation,0.0031,0.0031,20,0
22,residual,es,tier_1,standard_translation,0.0026,0.0016,20,0
22,attn_out,es,tier_1,standard_translation,0.0003,0.0007,20,0
22,mlp_out,es,tier_1,standard_translation,0.0008,0.0007,20,0
23,residual,es,tier_1,standard_translation,0.0035,0.0009,20,0
23,attn_out,es,tier_1,standard_translation,-0.0,0.0005,20,0
23,mlp_out,es,tier_1,standard_translation,0.0018,0.0006,20,0
24,residual,es,tier_1,standard_translation,0.0036,0.0019,20,0
24,attn_out,es,tier_1,standard_translation,0.0003,0.0003,20,0
24,mlp_out,es,tier_1,standard_translation,0.0003,0.0017,20,0
25,residual,es,tier_1,standard_translation,0.0028,0.0012,20,0
25,attn_out,es,tier_1,standard_translation,0.0001,0.0006,20,0
25,mlp_out,es,tier_1,standard_translation,0.0005,0.001,20,0
26,residual,es,tier_1,standard_translation,0.0021,0.0013,20,0
26,attn_out,es,tier_1,standard_translation,0.0006,0.001,20,0
26,mlp_out,es,tier_1,standard_translation,0.0003,0.0015,20,0
27,residual,es,tier_1,standard_translation,0.0024,0.0018,20,0
27,attn_out,es,tier_1,standard_translation,-0.0004,0.0006,20,0
27,mlp_out,es,tier_1,standard_translation,-0.001,0.0024,20,0
28,residual,es,tier_1,standard_translation,0.0023,0.0013,20,0
28,attn_out,es,tier_1,standard_translation,-0.0004,0.0003,20,0
28,mlp_out,es,tier_1,standard_translation,0.0024,0.0016,20,0
29,residual,es,tier_1,standard_translation,0.0015,0.0013,20,0
29,attn_out,es,tier_1,standard_translation,-0.0007,0.0004,20,0
29,mlp_out,es,tier_1,standard_translation,0.0009,0.0008,20,0
30,residual,es,tier_1,standard_translation,0.0013,0.0003,20,0
30,attn_out,es,tier_1,standard_translation,-0.0001,0.0003,20,0
30,mlp_out,es,tier_1,standard_translation,-0.002,0.0005,20,0
31,residual,es,tier_1,standard_translation,0.0,0.0,20,0
31,attn_out,es,tier_1,standard_translation,0.0,0.0,20,0
31,mlp_out,es,tier_1,standard_translation,0.0,0.0,20,0
0,residual,ar,tier_2,standard_translation,-0.0118,0.0626,20,0
0,attn_out,ar,tier_2,standard_translation,-0.0142,0.0388,20,0
0,mlp_out,ar,tier_2,standard_translation,-0.0174,0.0665,20,0
1,residual,ar,tier_2,standard_translation,-0.0226,0.0626,20,0
1,attn_out,ar,tier_2,standard_translation,-0.0128,0.0261,20,0
1,mlp_out,ar,tier_2,standard_translation,0.0013,0.0199,20,0
2,residual,ar,tier_2,standard_translation,-0.0219,0.0605,20,0
2,attn_out,ar,tier_2,standard_translation,0.0058,0.0065,20,0
2,mlp_out,ar,tier_2,standard_translation,0.001,0.0399,20,0
3,residual,ar,tier_2,standard_translation,-0.0321,0.0535,20,0
3,attn_out,ar,tier_2,standard_translation,-0.0032,0.0107,20,0
3,mlp_out,ar,tier_2,standard_translation,-0.0212,0.038,20,0
4,residual,ar,tier_2,standard_translation,-0.022,0.0325,20,0
4,attn_out,ar,tier_2,standard_translation,-0.001,0.0068,20,0
4,mlp_out,ar,tier_2,standard_translation,-0.0247,0.0375,20,0
5,residual,ar,tier_2,standard_translation,-0.0199,0.0303,20,0
5,attn_out,ar,tier_2,standard_translation,0.001,0.0068,20,0
5,mlp_out,ar,tier_2,standard_translation,-0.0161,0.0396,20,0
6,residual,ar,tier_2,standard_translation,-0.0161,0.023,20,0
6,attn_out,ar,tier_2,standard_translation,-0.0018,0.0097,20,0
