layer,component,language,tier,perturbation,mean_restoration,std_restoration,n_pairs_used,n_pairs_skipped
5,attn_out,fr,tier_1,standard_translation,0.0113,0.0184,20,0
5,mlp_out,fr,tier_1,standard_translation,0.0092,0.037,20,0
6,residual,fr,tier_1,standard_translation,0.0479,0.0516,20,0
6,attn_out,fr,tier_1,standard_translation,0.0002,0.0102,20,0
6,mlp_out,fr,tier_1,standard_translation,0.001,0.0161,20,0
7,residual,fr,tier_1,standard_translation,0.0525,0.0525,20,0
7,attn_out,fr,tier_1,standard_translation,-0.002,0.0275,20,0
7,mlp_out,fr,tier_1,standard_translation,0.0258,0.0527,20,0
8,residual,fr,tier_1,standard_translation,0.0394,0.0466,20,0
8,attn_out,fr,tier_1,standard_translation,0.0022,0.0124,20,0
8,mlp_out,fr,tier_1,standard_translation,0.0303,0.0423,20,0
9,residual,fr,tier_1,standard_translation,0.0465,0.0442,20,0
9,attn_out,fr,tier_1,standard_translation,0.0041,0.0166,20,0
9,mlp_out,fr,tier_1,standard_translation,0.0025,0.0409,20,0
10,residual,fr,tier_1,standard_translation,0.0489,0.0423,20,0
10,attn_out,fr,tier_1,standard_translation,-0.0006,0.012,20,0
10,mlp_out,fr,tier_1,standard_translation,-0.0068,0.0163,20,0
11,residual,fr,tier_1,standard_translation,0.0462,0.0444,20,0
11,attn_out,fr,tier_1,standard_translation,0.0035,0.0188,20,0
11,mlp_out,fr,tier_1,standard_translation,-0.0205,0.0207,20,0
12,residual,fr,tier_1,standard_translation,0.0526,0.0437,20,0
12,attn_out,fr,tier_1,standard_translation,-0.0088,0.0133,20,0
12,mlp_out,fr,tier_1,standard_translation,-0.0163,0.0235,20,0
13,residual,fr,tier_1,standard_translation,0.05,0.0429,20,0
13,attn_out,fr,tier_1,standard_translation,-0.0168,0.0105,20,0
13,mlp_out,fr,tier_1,standard_translation,-0.038,0.0309,20,0
14,residual,fr,tier_1,standard_translation,0.0554,0.0444,20,0
14,attn_out,fr,tier_1,standard_translation,0.0178,0.0145,20,0
14,mlp_out,fr,tier_1,standard_translation,-0.0126,0.0189,20,0
15,residual,fr,tier_1,standard_translation,0.0521,0.0316,20,0
15,attn_out,fr,tier_1,standard_translation,0.0145,0.0138,20,0
15,mlp_out,fr,tier_1,standard_translation,-0.0145,0.0247,20,0
16,residual,fr,tier_1,standard_translation,0.0481,0.036,20,0
16,attn_out,fr,tier_1,standard_translation,0.0151,0.0152,20,0
16,mlp_out,fr,tier_1,standard_translation,-0.0252,0.0413,20,0
17,residual,fr,tier_1,standard_translation,0.0677,0.0355,20,0
17,attn_out,fr,tier_1,standard_translation,0.006,0.0123,20,0
17,mlp_out,fr,tier_1,standard_translation,-0.0203,0.0256,20,0
18,residual,fr,tier_1,standard_translation,0.018,0.0273,20,0
18,attn_out,fr,tier_1,standard_translation,-0.0061,0.0071,20,0
18,mlp_out,fr,tier_1,standard_translation,-0.0079,0.0115,20,0
19,residual,fr,tier_1,standard_translation,0.0193,0.0238,20,0
19,attn_out,fr,tier_1,standard_translation,-0.0074,0.0112,20,0
19,mlp_out,fr,tier_1,standard_translation,-0.0007,0.0114,20,0
20,residual,fr,tier_1,standard_translation,0.0154,0.0149,20,0
20,attn_out,fr,tier_1,standard_translation,0.0031,0.004,20,0
20,mlp_out,fr,tier_1,standard_translation,0.0026,0.0096,20,0
21,residual,fr,tier_1,standard_translation,0.0167,0.0149,20,0
21,attn_out,fr,tier_1,standard_translation,0.0012,0.0045,20,0
21,mlp_out,fr,tier_1,standard_translation,0.0044,0.0086,20,0
22,residual,fr,tier_1,standard_translation,0.004,0.0148,20,0
22,attn_out,fr,tier_1,standard_translation,-0.0009,0.0016,20,0
22,mlp_out,fr,tier_1,standard_translation,-0.0004,0.0034,20,0
23,residual,fr,tier_1,standard_translation,0.0015,0.0127,20,0
23,attn_out,fr,tier_1,standard_translation,0.0019,0.0037,20,0
23,mlp_out,fr,tier_1,standard_translation,0.002,0.0046,20,0
24,residual,fr,tier_1,standard_translation,0.0007,0.0103,20,0
24,attn_out,fr,tier_1,standard_translation,0.0007,0.0003,20,0
24,mlp_out,fr,tier_1,standard_translation,0.0023,0.0017,20,0
25,residual,fr,tier_1,standard_translation,0.0055,0.0076,20,0
25,attn_out,fr,tier_1,standard_translation,-0.0011,0.0013,20,0
25,mlp_out,fr,tier_1,standard_translation,0.0016,0.0033,20,0
26,residual,fr,tier_1,standard_translation,0.0057,0.0056,20,0
26,attn_out,fr,tier_1,standard_translation,0.002,0.0018,20,0
26,mlp_out,fr,tier_1,standard_translation,-0.0015,0.0021,20,0
27,residual,fr,tier_1,standard_translation,0.0,0.0,20,0
27,attn_out,fr,tier_1,standard_translation,0.0,0.0,20,0
27,mlp_out,fr,tier_1,standard_translation,0.0,0.0,20,0
0,residual,zh,tier_1,standard_translation,-0.1651,0.1512,20,0
0,attn_out,zh,tier_1,standard_translation,-0.162,0.1503,20,0
0,mlp_out,zh,tier_1,standard_translation,-0.1324,0.0835,20,0
1,residual,zh,tier_1,standard_translation,-0.1483,0.1569,20,0
1,attn_out,zh,tier_1,standard_translation,0.0055,0.02,20,0
1,mlp_out,zh,tier_1,standard_translation,0.007,0.0245,20,0
2,residual,zh,tier_1,standard_translation,-0.1004,0.1037,20,0
2,attn_out,zh,tier_1,standard_translation,0.0012,0.019,20,0
2,mlp_out,zh,tier_1,standard_translation,-0.0152,0.0145,20,0
3,residual,zh,tier_1,standard_translation,-0.0801,0.0835,20,0
3,attn_out,zh,tier_1,standard_translation,-0.0009,0.019,20,0
3,mlp_out,zh,tier_1,standard_translation,-0.0168,0.0115,20,0
4,residual,zh,tier_1,standard_translation,-0.0682,0.0714,20,0
4,attn_out,zh,tier_1,standard_translation,0.0052,0.0078,20,0
4,mlp_out,zh,tier_1,standard_translation,0.0157,0.0319,20,0
5,residual,zh,tier_1,standard_translation,-0.0549,0.0718,20,0
5,attn_out,zh,tier_1,standard_translation,-0.0049,0.0134,20,0
5,mlp_out,zh,tier_1,standard_translation,0.02,0.0531,20,0
6,residual,zh,tier_1,standard_translation,-0.0459,0.069,20,0
6,attn_out,zh,tier_1,standard_translation,-0.0019,0.0306,20,0
6,mlp_out,zh,tier_1,standard_translation,0.0116,0.042,20,0
7,residual,zh,tier_1,standard_translation,-0.0149,0.0612,20,0
7,attn_out,zh,tier_1,standard_translation,0.0055,0.0228,20,0
7,mlp_out,zh,tier_1,standard_translation,0.0222,0.0584,20,0
8,residual,zh,tier_1,standard_translation,-0.0093,0.0507,20,0
8,attn_out,zh,tier_1,standard_translation,0.0079,0.0219,20,0
8,mlp_out,zh,tier_1,standard_translation,-0.0255,0.0197,20,0
9,residual,zh,tier_1,standard_translation,0.001,0.0409,20,0
9,attn_out,zh,tier_1,standard_translation,-0.0062,0.0186,20,0
9,mlp_out,zh,tier_1,standard_translation,-0.0229,0.0299,20,0
10,residual,zh,tier_1,standard_translation,0.0064,0.0423,20,0
10,attn_out,zh,tier_1,standard_translation,0.007,0.0224,20,0
10,mlp_out,zh,tier_1,standard_translation,-0.0111,0.022,20,0
11,residual,zh,tier_1,standard_translation,0.0251,0.0435,20,0
11,attn_out,zh,tier_1,standard_translation,0.0075,0.0195,20,0
11,mlp_out,zh,tier_1,standard_translation,-0.0036,0.0389,20,0
12,residual,zh,tier_1,standard_translation,0.013,0.047,20,0
12,attn_out,zh,tier_1,standard_translation,-0.02,0.0407,20,0
12,mlp_out,zh,tier_1,standard_translation,-0.0005,0.0229,20,0
13,residual,zh,tier_1,standard_translation,0.02,0.037,20,0
13,attn_out,zh,tier_1,standard_translation,-0.0072,0.0105,20,0
13,mlp_out,zh,tier_1,standard_translation,0.0174,0.015,20,0
14,residual,zh,tier_1,standard_translation,0.0333,0.0281,20,0
14,attn_out,zh,tier_1,standard_translation,-0.007,0.0087,20,0
14,mlp_out,zh,tier_1,standard_translation,-0.0006,0.0213,20,0
15,residual,zh,tier_1,standard_translation,0.0353,0.0382,20,0
15,attn_out,zh,tier_1,standard_translation,-0.0058,0.0087,20,0
15,mlp_out,zh,tier_1,standard_translation,0.0152,0.0234,20,0
16,residual,zh,tier_1,standard_translation,0.0369,0.0458,20,0
16,attn_out,zh,tier_1,standard_translation,-0.0042,0.003,20,0
16,mlp_out,zh,tier_1,standard_translation,-0.0059,0.0205,20,0
17,residual,zh,tier_1,standard_translation,0.0524,0.0503,20,0
17,attn_out,zh,tier_1,standard_translation,-0.0005,0.0096,20,0
17,mlp_out,zh,tier_1,standard_translation,-0.0052,0.0377,20,0
18,residual,zh,tier_1,standard_translation,-0.0037,0.0417,20,0
18,attn_out,zh,tier_1,standard_translation,0.0021,0.0069,20,0
18,mlp_out,zh,tier_1,standard_translation,0.0077,0.0114,20,0
19,residual,zh,tier_1,standard_translation,-0.0247,0.0318,20,0
19,attn_out,zh,tier_1,standard_translation,0.0013,0.0076,20,0
19,mlp_out,zh,tier_1,standard_translation,0.008,0.0148,20,0
20,residual,zh,tier_1,standard_translation,-0.0259,0.02,20,0
20,attn_out,zh,tier_1,standard_translation,-0.0043,0.0101,20,0
20,mlp_out,zh,tier_1,standard_translation,0.0067,0.0084,20,0
21,residual,zh,tier_1,standard_translation,-0.0312,0.0294,20,0
21,attn_out,zh,tier_1,standard_translation,-0.0016,0.0073,20,0
21,mlp_out,zh,tier_1,standard_translation,-0.001,0.0174,20,0
22,residual,zh,tier_1,standard_translation,-0.0098,0.0085,20,0
22,attn_out,zh,tier_1,standard_translation,0.0031,0.0059,20,0
22,mlp_out,zh,tier_1,standard_translation,-0.0021,0.0118,20,0
23,residual,zh,tier_1,standard_translation,-0.0074,0.011,20,0
23,attn_out,zh,tier_1,standard_translation,-0.0011,0.0018,20,0
23,mlp_out,zh,tier_1,standard_translation,-0.0045,0.009,20,0
24,residual,zh,tier_1,standard_translation,-0.0028,0.0127,20,0
24,attn_out,zh,tier_1,standard_translation,-0.0007,0.0018,20,0
24,mlp_out,zh,tier_1,standard_translation,-0.002,0.0016,20,0
25,residual,zh,tier_1,standard_translation,-0.0017,0.0097,20,0
25,attn_out,zh,tier_1,standard_translation,-0.0037,0.0032,20,0
25,mlp_out,zh,tier_1,standard_translation,0.0029,0.0099,20,0
26,residual,zh,tier_1,standard_translation,-0.0033,0.0112,20,0
26,attn_out,zh,tier_1,standard_translation,-0.0001,0.001,20,0
26,mlp_out,zh,tier_1,standard_translation,0.0009,0.0014,20,0
27,residual,zh,tier_1,standard_translation,0.0,0.0,20,0
27,attn_out,zh,tier_1,standard_translation,0.0,0.0,20,0
27,mlp_out,zh,tier_1,standard_translation,0.0,0.0,20,0
0,residual,es,tier_1,standard_translation,0.0701,0.1457,20,0
0,attn_out,es,tier_1,standard_translation,0.0767,0.1458,20,0
0,mlp_out,es,tier_1,standard_translation,0.0566,0.1433,20,0
1,residual,es,tier_1,standard_translation,0.0546,0.1003,20,0
1,attn_out,es,tier_1,standard_translation,-0.0013,0.0115,20,0
1,mlp_out,es,tier_1,standard_translation,-0.005,0.0146,20,0
2,residual,es,tier_1,standard_translation,0.026,0.0628,20,0
2,attn_out,es,tier_1,standard_translation,0.003,0.0207,20,0
2,mlp_out,es,tier_1,standard_translation,-0.0175,0.0169,20,0
3,residual,es,tier_1,standard_translation,0.0448,0.0443,20,0
3,attn_out,es,tier_1,standard_translation,-0.015,0.0258,20,0
3,mlp_out,es,tier_1,standard_translation,-0.0145,0.0353,20,0
4,residual,es,tier_1,standard_translation,0.0539,0.0363,20,0
4,attn_out,es,tier_1,standard_translation,-0.0057,0.0138,20,0
4,mlp_out,es,tier_1,standard_translation,0.0238,0.0295,20,0
5,residual,es,tier_1,standard_translation,0.0091,0.0703,20,0
5,attn_out,es,tier_1,standard_translation,0.0368,0.0288,20,0
5,mlp_out,es,tier_1,standard_translation,0.0385,0.0509,20,0
6,residual,es,tier_1,standard_translation,-0.0375,0.138,20,0
6,attn_out,es,tier_1,standard_translation,-0.0141,0.0162,20,0
6,mlp_out,es,tier_1,standard_translation,-0.0494,0.0701,20,0
7,residual,es,tier_1,standard_translation,-0.0367,0.1433,20,0
7,attn_out,es,tier_1,standard_translation,0.0219,0.0227,20,0
7,mlp_out,es,tier_1,standard_translation,0.0012,0.0568,20,0
8,residual,es,tier_1,standard_translation,-0.0572,0.1551,20,0
8,attn_out,es,tier_1,standard_translation,0.0078,0.0191,20,0
8,mlp_out,es,tier_1,standard_translation,-0.017,0.0422,20,0
9,residual,es,tier_1,standard_translation,-0.0577,0.1603,20,0
9,attn_out,es,tier_1,standard_translation,-0.0087,0.0261,20,0
9,mlp_out,es,tier_1,standard_translation,-0.0155,0.0753,20,0
10,residual,es,tier_1,standard_translation,-0.0656,0.1563,20,0
10,attn_out,es,tier_1,standard_translation,-0.0413,0.0683,20,0
10,mlp_out,es,tier_1,standard_translation,-0.0808,0.1035,20,0
11,residual,es,tier_1,standard_translation,-0.073,0.1416,20,0
11,attn_out,es,tier_1,standard_translation,-0.0218,0.0508,20,0
11,mlp_out,es,tier_1,standard_translation,-0.0672,0.0435,20,0
12,residual,es,tier_1,standard_translation,-0.0779,0.1562,20,0
12,attn_out,es,tier_1,standard_translation,-0.0181,0.043,20,0
12,mlp_out,es,tier_1,standard_translation,-0.1009,0.099,20,0
13,residual,es,tier_1,standard_translation,-0.0295,0.0979,20,0
13,attn_out,es,tier_1,standard_translation,-0.0101,0.0566,20,0
13,mlp_out,es,tier_1,standard_translation,-0.0654,0.0432,20,0
14,residual,es,tier_1,standard_translation,-0.0304,0.0745,20,0
14,attn_out,es,tier_1,standard_translation,-0.0045,0.0124,20,0
14,mlp_out,es,tier_1,standard_translation,-0.0479,0.0679,20,0
15,residual,es,tier_1,standard_translation,-0.0078,0.0585,20,0
15,attn_out,es,tier_1,standard_translation,-0.0055,0.0297,20,0
15,mlp_out,es,tier_1,standard_translation,-0.0414,0.0554,20,0
16,residual,es,tier_1,standard_translation,-0.0001,0.0531,20,0
16,attn_out,es,tier_1,standard_translation,0.0166,0.0093,20,0
16,mlp_out,es,tier_1,standard_translation,-0.0563,0.0761,20,0
17,residual,es,tier_1,standard_translation,0.0771,0.0284,20,0
17,attn_out,es,tier_1,standard_translation,-0.0019,0.0129,20,0
17,mlp_out,es,tier_1,standard_translation,-0.1186,0.1102,20,0
18,residual,es,tier_1,standard_translation,0.0691,0.0428,20,0
18,attn_out,es,tier_1,standard_translation,0.0073,0.0137,20,0
18,mlp_out,es,tier_1,standard_translation,0.0152,0.0239,20,0
19,residual,es,tier_1,standard_translation,0.055,0.052,20,0
19,attn_out,es,tier_1,standard_translation,0.0025,0.0031,20,0
19,mlp_out,es,tier_1,standard_translation,0.0061,0.0233,20,0
20,residual,es,tier_1,standard_translation,0.0265,0.033,20,0
20,attn_out,es,tier_1,standard_translation,0.0113,0.0085,20,0
20,mlp_out,es,tier_1,standard_translation,0.0079,0.0195,20,0
21,residual,es,tier_1,standard_translation,0.0216,0.0289,20,0
21,attn_out,es,tier_1,standard_translation,-0.0055,0.0056,20,0
21,mlp_out,es,tier_1,standard_translation,0.0019,0.0089,20,0
22,residual,es,tier_1,standard_translation,0.0087,0.0151,20,0
22,attn_out,es,tier_1,standard_translation,-0.0007,0.0027,20,0
22,mlp_out,es,tier_1,standard_translation,0.0045,0.0085,20,0
23,residual,es,tier_1,standard_translation,0.0097,0.0123,20,0
23,attn_out,es,tier_1,standard_translation,0.0057,0.0036,20,0
23,mlp_out,es,tier_1,standard_translation,0.0103,0.0077,20,0
24,residual,es,tier_1,standard_translation,-0.0028,0.0098,20,0
24,attn_out,es,tier_1,standard_translation,0.003,0.0021,20,0
24,mlp_out,es,tier_1,standard_translation,0.0046,0.0066,20,0
25,residual,es,tier_1,standard_translation,0.004,0.0042,20,0
25,attn_out,es,tier_1,standard_translation,-0.0002,0.0023,20,0
25,mlp_out,es,tier_1,standard_translation,-0.0034,0.0031,20,0
26,residual,es,tier_1,standard_translation,0.0077,0.0077,20,0
26,attn_out,es,tier_1,standard_translation,0.003,0.0016,20,0
26,mlp_out,es,tier_1,standard_translation,-0.0057,0.002,20,0
27,residual,es,tier_1,standard_translation,0.0,0.0,20,0
27,attn_out,es,tier_1,standard_translation,0.0,0.0,20,0
27,mlp_out,es,tier_1,standard_translation,0.0,0.0,20,0
0,residual,ar,tier_2,standard_translation,-0.248,0.2376,20,0
0,attn_out,ar,tier_2,standard_translation,-0.2623,0.2438,20,0
0,mlp_out,ar,tier_2,standard_translation,-0.3672,0.5523,20,0
1,residual,ar,tier_2,standard_translation,0.0229,0.216,20,0
1,attn_out,ar,tier_2,standard_translation,-0.0442,0.0525,20,0
1,mlp_out,ar,tier_2,standard_translation,0.0203,0.0392,20,0
2,residual,ar,tier_2,standard_translation,0.0827,0.2438,20,0
2,attn_out,ar,tier_2,standard_translation,0.0089,0.0735,20,0
2,mlp_out,ar,tier_2,standard_translation,0.01,0.1161,20,0
3,residual,ar,tier_2,standard_translation,0.0173,0.149,20,0
3,attn_out,ar,tier_2,standard_translation,0.0508,0.0866,20,0
3,mlp_out,ar,tier_2,standard_translation,-0.0629,0.1472,20,0
4,residual,ar,tier_2,standard_translation,0.0234,0.1543,20,0
4,attn_out,ar,tier_2,standard_translation,0.0343,0.0548,20,0
4,mlp_out,ar,tier_2,standard_translation,-0.0107,0.0707,20,0
5,residual,ar,tier_2,standard_translation,0.086,0.21,20,0
5,attn_out,ar,tier_2,standard_translation,-0.0691,0.1303,20,0
5,mlp_out,ar,tier_2,standard_translation,0.0503,0.1274,20,0
6,residual,ar,tier_2,standard_translation,0.0305,0.1781,20,0
6,attn_out,ar,tier_2,standard_translation,-0.0845,0.1627,20,0
6,mlp_out,ar,tier_2,standard_translation,0.0922,0.0742,20,0
7,residual,ar,tier_2,standard_translation,0.0538,0.1785,20,0
7,attn_out,ar,tier_2,standard_translation,0.1102,0.105,20,0
7,mlp_out,ar,tier_2,standard_translation,-0.0343,0.1941,20,0
8,residual,ar,tier_2,standard_translation,0.0207,0.0771,20,0
8,attn_out,ar,tier_2,standard_translation,-0.1499,0.3018,20,0
8,mlp_out,ar,tier_2,standard_translation,-0.0777,0.189,20,0
9,residual,ar,tier_2,standard_translation,-0.0284,0.0577,20,0
9,attn_out,ar,tier_2,standard_translation,0.0852,0.1782,20,0
9,mlp_out,ar,tier_2,standard_translation,-0.0616,0.123,20,0
10,residual,ar,tier_2,standard_translation,-0.0258,0.1155,20,0
10,attn_out,ar,tier_2,standard_translation,0.0112,0.0627,20,0
10,mlp_out,ar,tier_2,standard_translation,-0.0954,0.141,20,0
11,residual,ar,tier_2,standard_translation,-0.0222,0.1209,20,0
11,attn_out,ar,tier_2,standard_translation,-0.0205,0.0215,20,0
11,mlp_out,ar,tier_2,standard_translation,-0.1601,0.2753,20,0
12,residual,ar,tier_2,standard_translation,-0.0267,0.0971,20,0
12,attn_out,ar,tier_2,standard_translation,-0.0611,0.108,20,0
12,mlp_out,ar,tier_2,standard_translation,0.0667,0.128,20,0
13,residual,ar,tier_2,standard_translation,-0.0728,0.1406,20,0
13,attn_out,ar,tier_2,standard_translation,0.1134,0.2135,20,0
13,mlp_out,ar,tier_2,standard_translation,-0.0351,0.0295,20,0
14,residual,ar,tier_2,standard_translation,-0.0373,0.0764,20,0
14,attn_out,ar,tier_2,standard_translation,-0.036,0.0616,20,0
14,mlp_out,ar,tier_2,standard_translation,-0.0033,0.0164,20,0
15,residual,ar,tier_2,standard_translation,-0.0824,0.1603,20,0
15,attn_out,ar,tier_2,standard_translation,-0.007,0.0488,20,0
15,mlp_out,ar,tier_2,standard_translation,0.0545,0.0851,20,0
16,residual,ar,tier_2,standard_translation,-0.1054,0.1879,20,0
16,attn_out,ar,tier_2,standard_translation,-0.0153,0.0341,20,0
16,mlp_out,ar,tier_2,standard_translation,-0.1009,0.1461,20,0
17,residual,ar,tier_2,standard_translation,-0.1011,0.2284,20,0
17,attn_out,ar,tier_2,standard_translation,0.0206,0.0431,20,0
17,mlp_out,ar,tier_2,standard_translation,0.0311,0.0983,20,0
18,residual,ar,tier_2,standard_translation,-0.1154,0.1749,20,0
18,attn_out,ar,tier_2,standard_translation,-0.0469,0.0968,20,0
18,mlp_out,ar,tier_2,standard_translation,0.0144,0.0302,20,0
19,residual,ar,tier_2,standard_translation,-0.0885,0.0829,20,0
19,attn_out,ar,tier_2,standard_translation,-0.0049,0.0309,20,0
19,mlp_out,ar,tier_2,standard_translation,0.0386,0.0676,20,0
20,residual,ar,tier_2,standard_translation,-0.0525,0.0372,20,0
20,attn_out,ar,tier_2,standard_translation,-0.0064,0.0179,20,0
20,mlp_out,ar,tier_2,standard_translation,0.0261,0.0413,20,0
21,residual,ar,tier_2,standard_translation,-0.0716,0.0515,20,0
21,attn_out,ar,tier_2,standard_translation,-0.0177,0.026,20,0
21,mlp_out,ar,tier_2,standard_translation,0.0283,0.0501,20,0
22,residual,ar,tier_2,standard_translation,-0.0252,0.0406,20,0
22,attn_out,ar,tier_2,standard_translation,0.0014,0.0053,20,0
